Pedido ID: Ped-L-001 | Estado Final: Entregado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-002 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-003 | Estado Final: En Camino | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-004 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-005 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-006 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-007 | Estado Final: Entregado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-008 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-009 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-010 | Estado Final: En Camino | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-011 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-012 | Estado Final: En Camino | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-013 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-014 | Estado Final: Cancelado | Reloj Vectorial: [3 1 1]
Pedido ID: Ped-L-015 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-016 | Estado Final: En Camino | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-017 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-018 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-019 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-020 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-021 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-022 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-023 | Estado Final: Cancelado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-024 | Estado Final: En Camino | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-025 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-026 | Estado Final: Cancelado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-027 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-028 | Estado Final: Cancelado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-029 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-030 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-031 | Estado Final: En Camino | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-032 | Estado Final: Entregado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-033 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-034 | Estado Final: Entregado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-035 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-036 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-037 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-038 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-039 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-040 | Estado Final: Entregado | Reloj Vectorial: [5 0 0]
Pedido ID: Ped-L-041 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-042 | Estado Final: Entregado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-043 | Estado Final: En Camino | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-044 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-045 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-046 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-047 | Estado Final: En Camino | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-048 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-049 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-050 | Estado Final: Cancelado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-051 | Estado Final: Entregado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-052 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-053 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-054 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-055 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-056 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-057 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-058 | Estado Final: Cancelado | Reloj Vectorial: [3 1 1]
Pedido ID: Ped-L-059 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-060 | Estado Final: Entregado | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-061 | Estado Final: Entregado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-062 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-063 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-064 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-065 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-066 | Estado Final: En Camino | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-067 | Estado Final: Cancelado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-068 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-069 | Estado Final: En Camino | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-070 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-071 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-072 | Estado Final: Cancelado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-073 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-074 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-075 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-076 | Estado Final: Preparando | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-077 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-078 | Estado Final: Cancelado | Reloj Vectorial: [3 0 1]
Pedido ID: Ped-L-079 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-080 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-081 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-082 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-083 | Estado Final: En Camino | Reloj Vectorial: [4 1 0]
Pedido ID: Ped-L-084 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-085 | Estado Final: Entregado | Reloj Vectorial: [5 0 1]
Pedido ID: Ped-L-086 | Estado Final: Entregado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-087 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-088 | Estado Final: Entregado | Reloj Vectorial: [5 1 0]
Pedido ID: Ped-L-089 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-090 | Estado Final: Cancelado | Reloj Vectorial: [3 1 1]
Pedido ID: Ped-L-091 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-092 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-093 | Estado Final: Cancelado | Reloj Vectorial: [3 1 1]
Pedido ID: Ped-L-094 | Estado Final: Entregado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-095 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Ped-L-096 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-097 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-098 | Estado Final: Cancelado | Reloj Vectorial: [4 0 1]
Pedido ID: Ped-L-099 | Estado Final: Entregado | Reloj Vectorial: [5 1 1]
Pedido ID: Ped-L-100 | Estado Final: Entregado | Reloj Vectorial: [4 1 1]
Pedido ID: Req-Cliente1-1 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente1-2 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente1-3 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente2-1 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente2-2 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente2-3 | Estado Final: Recibido | Reloj Vectorial: [1 0 0]
Pedido ID: Req-Cliente3-1 | Estado Final: Recibido | Reloj Vectorial: [0 1 0]
Pedido ID: Req-Cliente3-2 | Estado Final: Recibido | Reloj Vectorial: [0 0 1]
Pedido ID: Req-Cliente3-3 | Estado Final: Recibido | Reloj Vectorial: [1 0 0]
